phi0_omega_k,phi1_u_k,phi2_bias,y_omega_k1
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.95392495
0.95392495,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.50999999,1.00000000,0.63594991
0.63594991,0.47000000,1.00000000,0.63594991
0.63594991,0.43000001,1.00000000,0.31797495
0.31797495,0.39000002,1.00000000,0.15898748
0.15898748,0.35000002,1.00000000,0.00000000
0.00000000,0.31000003,1.00000000,0.00000000
0.00000000,0.27000004,1.00000000,0.00000000
0.00000000,0.23000005,1.00000000,0.00000000
0.00000000,0.19000006,1.00000000,0.00000000
0.00000000,0.15000007,1.00000000,0.00000000
0.00000000,0.11000007,1.00000000,0.00000000
0.00000000,0.07000007,1.00000000,0.00000000
0.00000000,0.03000007,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,-0.04000000,1.00000000,0.00000000
0.00000000,-0.08000000,1.00000000,0.00000000
0.00000000,-0.12000000,1.00000000,0.00000000
0.00000000,-0.16000000,1.00000000,0.00000000
0.00000000,-0.19999999,1.00000000,0.00000000
0.00000000,-0.23999998,1.00000000,0.00000000
0.00000000,-0.27999997,1.00000000,0.00000000
0.00000000,-0.31999996,1.00000000,0.00000000
0.00000000,-0.35999995,1.00000000,0.00000000
0.00000000,-0.39999995,1.00000000,0.00000000
0.00000000,-0.43999994,1.00000000,0.00000000
0.00000000,-0.47999993,1.00000000,0.00000000
0.00000000,-0.51999992,1.00000000,0.00000000
0.00000000,-0.55000001,1.00000000,-0.31797495
-0.31797495,-0.55000001,1.00000000,-0.47696248
-0.47696248,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.63594991
-0.63594991,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.95392495
-0.95392495,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.95392495
-0.95392495,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.55000001,1.00000000,-0.79493743
-0.79493743,-0.50999999,1.00000000,-0.79493743
-0.79493743,-0.47000000,1.00000000,-0.63594991
-0.63594991,-0.43000001,1.00000000,-0.63594991
-0.63594991,-0.39000002,1.00000000,-0.15898748
-0.15898748,-0.35000002,1.00000000,-0.15898748
-0.15898748,-0.31000003,1.00000000,0.00000000
0.00000000,-0.27000004,1.00000000,0.00000000
0.00000000,-0.23000005,1.00000000,0.00000000
0.00000000,-0.19000006,1.00000000,0.00000000
0.00000000,-0.15000007,1.00000000,0.00000000
0.00000000,-0.11000007,1.00000000,0.00000000
0.00000000,-0.07000007,1.00000000,0.00000000
0.00000000,-0.03000007,1.00000000,0.00000000
0.00000000,0.00999993,1.00000000,0.00000000
0.00000000,0.04999993,1.00000000,0.00000000
0.00000000,0.08999993,1.00000000,0.00000000
0.00000000,0.12999994,1.00000000,0.00000000
0.00000000,0.16999993,1.00000000,0.00000000
0.00000000,0.20999992,1.00000000,0.00000000
0.00000000,0.24999991,1.00000000,0.00000000
0.00000000,0.28999990,1.00000000,0.00000000
0.00000000,0.32999989,1.00000000,0.15898748
0.15898748,0.36999989,1.00000000,0.00000000
0.00000000,0.40999988,1.00000000,0.00000000
0.00000000,0.44999987,1.00000000,0.00000000
0.00000000,0.48999986,1.00000000,0.00000000
0.00000000,0.52999985,1.00000000,0.00000000
0.00000000,0.55000001,1.00000000,0.15898748
0.15898748,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.95392495
0.95392495,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.50999999,1.00000000,0.79493743
0.79493743,0.47000000,1.00000000,0.47696248
0.47696248,0.43000001,1.00000000,0.47696248
0.47696248,0.39000002,1.00000000,0.15898748
0.15898748,0.35000002,1.00000000,0.15898748
0.15898748,0.31000003,1.00000000,0.00000000
0.00000000,0.27000004,1.00000000,0.00000000
0.00000000,0.23000005,1.00000000,0.00000000
0.00000000,0.19000006,1.00000000,0.00000000
0.00000000,0.15000007,1.00000000,0.00000000
0.00000000,0.11000007,1.00000000,0.00000000
0.00000000,0.07000007,1.00000000,0.00000000
0.00000000,0.03000007,1.00000000,0.00000000
0.00000000,-0.00999993,1.00000000,0.00000000
0.00000000,-0.04999993,1.00000000,0.00000000
0.00000000,-0.08999993,1.00000000,0.00000000
0.00000000,-0.12999994,1.00000000,0.00000000
0.00000000,-0.16999993,1.00000000,0.00000000
0.00000000,-0.20999992,1.00000000,0.00000000
0.00000000,-0.24999991,1.00000000,0.00000000
0.00000000,-0.28999990,1.00000000,0.00000000
0.00000000,-0.32999989,1.00000000,-0.15898748
-0.15898748,-0.36999989,1.00000000,0.00000000
0.00000000,-0.40999988,1.00000000,0.00000000
0.00000000,-0.44999987,1.00000000,0.00000000
0.00000000,-0.48999986,1.00000000,0.00000000
