t_s,pwm_cmd,omega_real_rad_s
0.020000,0.000000,0.00000000
0.040000,0.000000,0.00000000
0.060000,0.000000,0.00000000
0.080000,0.000000,0.00000000
0.100000,0.000000,0.00000000
0.120000,0.000000,0.00000000
0.140000,0.000000,0.00000000
0.160000,0.000000,0.00000000
0.180000,0.000000,0.00000000
0.200000,0.000000,0.00000000
0.220000,0.000000,0.00000000
0.240000,0.000000,0.00000000
0.260000,0.000000,0.00000000
0.280000,0.000000,0.00000000
0.300000,0.000000,0.00000000
0.320000,0.000000,0.00000000
0.340000,0.000000,0.00000000
0.360000,0.000000,0.00000000
0.380000,0.000000,0.00000000
0.400000,0.000000,0.00000000
0.420000,0.000000,0.00000000
0.440000,0.000000,0.00000000
0.460000,0.000000,0.00000000
0.480000,0.000000,0.00000000
0.500000,0.000000,0.00000000
0.520000,0.000000,0.00000000
0.540000,0.000000,0.00000000
0.560000,0.000000,0.00000000
0.580000,0.000000,0.00000000
0.600000,0.000000,0.00000000
0.620000,0.000000,0.00000000
0.640000,0.000000,0.00000000
0.660000,0.000000,0.00000000
0.680000,0.000000,0.00000000
0.700000,0.000000,0.00000000
0.720000,0.000000,0.00000000
0.740000,0.000000,0.00000000
0.760000,0.000000,0.00000000
0.780000,0.000000,0.00000000
0.800000,0.000000,0.00000000
0.820000,0.000000,0.00000000
0.840000,0.000000,0.00000000
0.860000,0.000000,0.00000000
0.880000,0.000000,0.00000000
0.900000,0.000000,0.00000000
0.920000,0.000000,0.00000000
0.940000,0.000000,0.00000000
0.960000,0.000000,0.00000000
0.980000,0.000000,0.00000000
1.000000,0.000000,0.00000000
1.020000,-0.700000,0.31797495
1.040000,-0.700000,2.86177468
1.060000,-0.700000,3.97468710
1.080000,-0.700000,4.45164967
1.100000,-0.700000,4.76962471
1.120000,-0.700000,4.76962471
1.140000,-0.700000,4.92861223
1.160000,-0.700000,4.92861223
1.180000,-0.700000,4.92861223
1.200000,-0.700000,4.92861223
1.220000,-0.700000,4.92861223
1.240000,-0.700000,5.08759928
1.260000,-0.700000,4.92861223
1.280000,-0.700000,4.92861223
1.300000,-0.700000,5.08759928
1.320000,-0.700000,4.92861223
1.340000,-0.700000,4.92861223
1.360000,-0.700000,4.92861223
1.380000,-0.700000,5.08759928
1.400000,-0.700000,4.92861223
1.420000,-0.700000,4.92861223
1.440000,-0.700000,4.92861223
1.460000,-0.700000,5.08759928
1.480000,-0.700000,4.92861223
1.500000,-0.700000,4.92861223
1.520000,-0.700000,5.08759928
1.540000,-0.700000,4.92861223
1.560000,-0.700000,4.92861223
1.580000,-0.700000,5.08759928
1.600000,-0.700000,4.92861223
1.620000,-0.700000,4.92861223
1.640000,-0.700000,5.08759928
1.660000,-0.700000,4.92861223
1.680000,-0.700000,4.92861223
1.700000,-0.700000,5.08759928
1.720000,-0.700000,4.92861223
1.740000,-0.700000,4.92861223
1.760000,-0.700000,5.08759928
1.780000,-0.700000,4.92861223
1.800000,-0.700000,4.92861223
1.820000,-0.700000,4.92861223
1.840000,-0.700000,5.08759928
1.860000,-0.700000,4.92861223
1.880000,-0.700000,4.92861223
1.900000,-0.700000,5.08759928
1.920000,-0.700000,4.92861223
1.940000,-0.700000,4.92861223
1.960000,-0.700000,5.08759928
1.980000,-0.700000,4.92861223
2.000000,-0.700000,5.08759928
2.020000,-0.700000,4.92861223
2.040000,-0.700000,4.92861223
2.060000,-0.700000,5.08759928
2.080000,-0.700000,4.92861223
2.100000,-0.700000,4.92861223
2.120000,-0.700000,5.08759928
2.140000,-0.700000,4.92861223
2.160000,-0.700000,4.92861223
2.180000,-0.700000,5.08759928
2.200000,-0.700000,4.92861223
2.220000,-0.700000,4.92861223
2.240000,-0.700000,5.08759928
2.260000,-0.700000,4.92861223
2.280000,-0.700000,4.92861223
2.300000,-0.700000,5.08759928
2.320000,-0.700000,4.92861223
2.340000,-0.700000,5.08759928
2.360000,-0.700000,4.92861223
2.380000,-0.700000,4.92861223
2.400000,-0.700000,5.08759928
2.420000,-0.700000,4.92861223
2.440000,-0.700000,4.92861223
2.460000,-0.700000,5.08759928
2.480000,-0.700000,4.92861223
2.500000,-0.700000,4.92861223
2.520000,-0.700000,5.08759928
2.540000,-0.700000,4.92861223
2.560000,-0.700000,4.92861223
2.580000,-0.700000,5.08759928
2.600000,-0.700000,4.92861223
2.620000,-0.700000,5.08759928
2.640000,-0.700000,4.92861223
2.660000,-0.700000,4.92861223
2.680000,-0.700000,5.08759928
2.700000,-0.700000,4.92861223
2.720000,-0.700000,4.92861223
2.740000,-0.700000,4.92861223
2.760000,-0.700000,4.92861223
2.780000,-0.700000,4.92861223
2.800000,-0.700000,5.08759928
2.820000,-0.700000,4.92861223
2.840000,-0.700000,5.08759928
2.860000,-0.700000,4.92861223
2.880000,-0.700000,4.92861223
2.900000,-0.700000,5.08759928
2.920000,-0.700000,4.92861223
2.940000,-0.700000,5.08759928
2.960000,-0.700000,4.92861223
2.980000,-0.700000,4.92861223
3.000000,-0.700000,5.08759928
3.020000,-0.700000,4.92861223
3.040000,-0.700000,4.92861223
3.060000,-0.700000,5.08759928
3.080000,-0.700000,4.92861223
3.100000,-0.700000,5.08759928
3.120000,-0.700000,4.92861223
3.140000,-0.700000,4.92861223
3.160000,-0.700000,5.08759928
3.180000,-0.700000,4.92861223
3.200000,-0.700000,4.92861223
3.220000,-0.700000,4.92861223
3.240000,-0.700000,4.92861223
3.260000,-0.700000,5.08759928
3.280000,-0.700000,4.92861223
3.300000,-0.700000,5.08759928
3.320000,-0.700000,4.92861223
3.340000,-0.700000,4.92861223
3.360000,-0.700000,5.08759928
3.380000,-0.700000,4.92861223
3.400000,-0.700000,5.08759928
3.420000,-0.700000,4.92861223
3.440000,-0.700000,4.92861223
3.460000,-0.700000,5.08759928
3.480000,-0.700000,4.92861223
3.500000,-0.700000,5.08759928
3.520000,-0.700000,4.92861223
3.540000,-0.700000,4.92861223
3.560000,-0.700000,5.08759928
3.580000,-0.700000,4.92861223
3.600000,-0.700000,5.08759928
3.620000,-0.700000,4.92861223
3.640000,-0.700000,5.08759928
3.660000,-0.700000,4.92861223
3.680000,-0.700000,4.92861223
3.700000,-0.700000,5.08759928
3.720000,-0.700000,4.92861223
3.740000,-0.700000,5.08759928
3.760000,-0.700000,4.92861223
3.780000,-0.700000,4.92861223
3.800000,-0.700000,5.08759928
3.820000,-0.700000,4.92861223
3.840000,-0.700000,5.08759928
3.860000,-0.700000,4.92861223
3.880000,-0.700000,5.08759928
3.900000,-0.700000,4.92861223
3.920000,-0.700000,4.92861223
3.940000,-0.700000,5.08759928
3.960000,-0.700000,4.92861223
3.980000,-0.700000,5.08759928
4.000000,-0.700000,4.92861223
4.020000,-0.700000,4.92861223
4.040000,-0.700000,5.08759928
4.060000,-0.700000,4.92861223
4.080000,-0.700000,5.08759928
4.100000,-0.700000,4.92861223
4.120000,-0.700000,5.08759928
4.140000,-0.700000,4.92861223
4.160000,-0.700000,4.92861223
4.180000,-0.700000,5.08759928
4.200000,-0.700000,4.92861223
4.220000,-0.700000,5.08759928
4.240000,-0.700000,4.92861223
4.260000,-0.700000,5.08759928
4.280000,-0.700000,4.92861223
4.300000,-0.700000,4.92861223
4.320000,-0.700000,5.08759928
4.340000,-0.700000,4.92861223
4.360000,-0.700000,5.08759928
4.380000,-0.700000,4.92861223
4.400000,-0.700000,5.08759928
4.420000,-0.700000,4.92861223
4.440000,-0.700000,4.92861223
4.460000,-0.700000,5.08759928
4.480000,-0.700000,4.92861223
