phi0_omega_k,phi1_u_eff_k,phi2_bias,y_omega_k1
-0.15898748,0.10000004,1.00000000,0.15898748
0.15898748,0.10000004,1.00000000,0.00000000
0.00000000,0.10000004,1.00000000,-0.15898748
-0.15898748,0.10000004,1.00000000,0.15898748
0.15898748,0.10000004,1.00000000,-0.15898748
-0.15898748,0.10000004,1.00000000,0.00000000
0.00000000,0.10000004,1.00000000,0.15898748
0.15898748,0.10000004,1.00000000,-0.15898748
-0.15898748,0.10000004,1.00000000,0.15898748
0.15898748,0.10000004,1.00000000,0.00000000
0.00000000,0.10000004,1.00000000,-0.15898748
-0.15898748,0.10000004,1.00000000,0.15898748
0.15898748,0.10000004,1.00000000,-0.15898748
-0.15898748,0.10000004,1.00000000,0.00000000
0.00000000,0.10000004,1.00000000,0.15898748
0.15898748,0.10000004,1.00000000,-0.15898748
-0.15898748,0.10000004,1.00000000,0.15898748
0.15898748,0.10000004,1.00000000,-0.15898748
-0.15898748,0.02000001,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.15898748
0.15898748,0.00000000,1.00000000,-0.15898748
-0.15898748,0.00000000,1.00000000,0.15898748
0.15898748,0.00000000,1.00000000,-0.15898748
-0.15898748,0.00000000,1.00000000,0.15898748
0.15898748,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
