t_ms,ref_pos,y_pos,y_vel,e_pos,e_vel,x1_hat,x2_hat,u,delta_cnt,cnt_raw,cnt_rel
349,1.000000,-0.000000,-0.000000,-1.000000,-0.000000,0.000000,0.500000,1.000000,0,0,0
352,1.000000,-0.000000,-0.000000,-1.000000,-0.000000,0.010000,0.960000,1.000000,0,0,0
360,1.000000,-0.000000,-0.000000,-1.000000,-0.000000,0.025200,1.359200,1.000000,0,0,0
367,1.000000,-0.000000,-0.000000,-1.000000,-0.000000,0.042304,1.689984,1.000000,0,0,0
375,1.000000,0.069954,3.497900,-0.930045,3.497900,0.087164,2.121146,1.000000,-22,-22,-22
383,1.000000,0.069954,3.497900,-0.930045,3.497900,0.122703,2.410152,1.000000,-22,-22,-22
391,1.000000,0.235301,8.267349,-0.764699,8.267349,0.215945,2.425540,-0.124073,-52,-74,-74
399,1.000000,0.235301,8.267349,-0.764699,8.267349,0.272199,2.215914,-0.124073,-52,-74,-74
406,1.000000,0.235301,8.267349,-0.764699,8.267349,0.301758,1.888052,-0.124073,-52,-74,-74
414,1.000000,0.429266,9.698236,-0.570734,9.698236,0.390522,1.643937,-0.798180,-61,-135,-135
422,1.000000,0.429266,9.698236,-0.570734,9.698236,0.438899,1.206317,-0.798180,-61,-135,-135
431,1.000000,0.559636,6.518487,-0.440364,6.518487,0.511320,1.188097,-0.422969,-41,-176,-176
439,1.000000,0.559636,6.518487,-0.440364,6.518487,0.554408,0.997523,-0.422969,-41,-176,-176
447,1.000000,0.559636,6.518487,-0.440364,6.518487,0.576450,0.718783,-0.422969,-41,-176,-176
455,1.000000,0.575535,0.794937,-0.424465,0.794937,0.590459,1.004055,0.689943,-5,-181,-181
463,1.000000,0.575535,0.794937,-0.424465,0.794937,0.604571,1.232883,0.689943,-5,-181,-181
471,1.000000,0.594613,0.953925,-0.405387,0.953925,0.625245,1.420349,0.619989,-6,-187,-187
478,1.000000,0.594613,0.953925,-0.405387,0.953925,0.641399,1.543198,0.619989,-6,-187,-187
486,1.000000,0.594613,0.953925,-0.405387,0.953925,0.653549,1.617449,0.619989,-6,-187,-187
494,1.000000,0.639130,2.225825,-0.360870,2.225825,0.680130,1.591735,0.276576,-14,-201,-201
502,1.000000,0.639130,2.225825,-0.360870,2.225825,0.695565,1.504283,0.276576,-14,-201,-201
510,1.000000,0.683646,2.225825,-0.316354,2.225825,0.720883,1.449107,0.187543,-14,-215,-215
518,1.000000,0.683646,2.225825,-0.316354,2.225825,0.734970,1.337582,0.187543,-14,-215,-215
529,1.000000,0.724983,2.066734,-0.275017,2.066734,0.757727,1.274949,0.136687,-13,-228,-228
549,1.000000,0.763140,1.907850,-0.236860,1.907850,0.785391,1.232019,0.092150,-12,-240,-240
569,1.000000,0.794937,1.589875,-0.205063,1.589875,0.813850,1.202444,0.092150,-10,-250,-250
589,1.000000,0.820375,1.271900,-0.179625,1.271900,0.840509,1.174344,0.104869,-8,-258,-258
609,1.000000,0.839454,0.953925,-0.160546,0.953925,0.863574,1.143018,0.130307,-6,-264,-264
629,1.000000,0.855353,0.794937,-0.144647,0.794937,0.883146,1.096999,0.130307,-5,-269,-269
649,1.000000,0.864892,0.476962,-0.135108,0.476962,0.897784,1.052842,0.174824,-3,-272,-272
669,1.000000,0.871251,0.317975,-0.128749,0.317975,0.908228,1.001887,0.193902,-2,-274,-274
689,1.000000,0.874431,0.158987,-0.125569,0.158987,0.914747,0.950293,0.219340,-1,-275,-275
709,1.000000,0.874431,-0.000000,-0.125569,-0.000000,0.917627,0.903081,0.251138,0,-275,-275
729,1.000000,0.874431,-0.000000,-0.125569,-0.000000,0.918410,0.852734,0.251138,0,-275,-275
749,1.000000,0.874431,-0.000000,-0.125569,-0.000000,0.917873,0.804535,0.251138,0,-275,-275
