t_s,omega_ref_rad_s,omega_meas_rad_s,omega_filt_rad_s,e0_int_error,e1_error,v_ff,v_fb,u_eff,pwm_cmd,delta_cnt,position_cnt
0.020,8.000000,0.000000,0.000000,0.160000,8.000000,0.541232,0.479514,1.000000,1.000000,0,21
0.040,8.000000,0.000000,0.000000,0.320000,8.000000,0.541232,0.480472,1.000000,1.000000,0,21
0.060,8.000000,0.000000,0.000000,0.480000,8.000000,0.541232,0.481429,1.000000,1.000000,0,21
0.080,8.000000,3.815128,0.572269,0.628555,7.427731,0.541232,0.448084,0.989317,0.995193,24,45
0.100,8.000000,3.815128,1.058698,0.767381,6.941302,0.541232,0.419817,0.961049,0.982472,24,45
0.120,8.000000,8.587041,2.187949,0.883622,5.812051,0.541232,0.352961,0.894193,0.952387,54,99
0.140,8.000000,8.587041,3.147813,0.980665,4.852187,0.541232,0.296123,0.837355,0.926810,54,99
0.160,8.000000,8.587041,3.963697,1.061391,4.036304,0.541232,0.247800,0.789032,0.905064,54,99
0.180,8.000000,10.334187,4.919270,1.123006,3.080730,0.541232,0.191006,0.732238,0.879507,65,164
0.200,8.000000,10.334187,5.731507,1.168376,2.268493,0.541232,0.142690,0.683922,0.857765,65,164
0.220,8.000000,10.652162,6.469605,1.198984,1.530395,0.541232,0.098720,0.639952,0.837979,67,231
0.240,8.000000,10.652162,7.096989,1.217044,0.903011,0.541232,0.061298,0.602530,0.821139,67,231
0.260,8.000000,10.652162,7.630265,1.224439,0.369735,0.541232,0.029442,0.570674,0.806803,67,231
0.280,8.000000,10.334187,8.035853,1.223722,-0.035853,0.541232,0.005176,0.546408,0.795884,65,296
0.300,8.000000,10.334187,8.380604,1.216110,-0.380604,0.541232,-0.015493,0.525739,0.786583,65,296
0.320,8.000000,10.016212,8.625945,1.203591,-0.625945,0.541232,-0.030244,0.510988,0.779945,63,359
0.340,8.000000,9.697753,8.786716,1.187856,-0.786716,0.541232,-0.039955,0.501277,0.775575,61,420
0.360,8.000000,9.221274,8.851900,1.170818,-0.851900,0.541232,-0.043957,0.497276,0.773774,58,478
0.380,8.000000,8.903299,8.859610,1.153626,-0.859610,0.541232,-0.044521,0.496712,0.773520,56,534
0.400,8.000000,8.585324,8.818466,1.137257,-0.818466,0.541232,-0.042157,0.499075,0.774584,54,588
0.420,8.000000,8.267349,8.735799,1.122541,-0.735799,0.541232,-0.037300,0.503932,0.776769,52,640
0.440,8.000000,7.949374,8.617835,1.110184,-0.617835,0.541232,-0.030318,0.510915,0.779912,50,690
0.460,8.000000,7.949374,8.517566,1.099833,-0.517566,0.541232,-0.024381,0.516851,0.782583,50,740
0.480,8.000000,7.631400,8.384641,1.092140,-0.384641,0.541232,-0.016476,0.524756,0.786140,48,788
0.500,8.000000,7.631400,8.271655,1.086707,-0.271655,0.541232,-0.009750,0.531483,0.789167,48,836
0.520,8.000000,7.631400,8.175617,1.083194,-0.175617,0.541232,-0.004026,0.537207,0.791743,48,884
0.540,8.000000,7.790387,8.117833,1.080838,-0.117833,0.541232,-0.000583,0.540649,0.793292,49,933
0.560,8.000000,7.631400,8.044868,1.079940,-0.044868,0.541232,0.003776,0.545008,0.795254,48,981
0.580,8.000000,7.790387,8.006697,1.079806,-0.006697,0.541232,0.006059,0.547291,0.796281,49,1030
0.600,8.000000,7.790387,7.974250,1.080321,0.025750,0.541232,0.008003,0.549235,0.797156,49,1079
0.620,8.000000,7.949374,7.970518,1.080911,0.029482,0.541232,0.008230,0.549462,0.797258,50,1129
0.640,8.000000,7.790387,7.943498,1.082041,0.056502,0.541232,0.009853,0.551085,0.797988,49,1178
0.660,8.000000,7.949374,7.944380,1.083153,0.055620,0.541232,0.009807,0.551039,0.797968,50,1228
0.680,8.000000,7.949374,7.945129,1.084251,0.054871,0.541232,0.009768,0.551001,0.797950,50,1278
0.700,8.000000,7.790387,7.921918,1.085813,0.078082,0.541232,0.011166,0.552399,0.798579,49,1327
0.720,8.000000,7.949374,7.926036,1.087292,0.073964,0.541232,0.010929,0.552161,0.798472,50,1377
0.740,8.000000,8.108362,7.953385,1.088224,0.046615,0.541232,0.009298,0.550531,0.797739,51,1428
0.760,8.000000,7.949374,7.952784,1.089169,0.047216,0.541232,0.009340,0.550572,0.797758,50,1478
0.780,8.000000,7.949374,7.952272,1.090123,0.047728,0.541232,0.009376,0.550608,0.797774,50,1528
0.800,8.000000,7.790387,7.927989,1.091563,0.072011,0.541232,0.010837,0.552070,0.798431,49,1577
0.820,8.000000,7.949374,7.931197,1.092939,0.068803,0.541232,0.010654,0.551886,0.798349,50,1627
0.840,8.000000,7.949374,7.933924,1.094261,0.066076,0.541232,0.010498,0.551731,0.798279,50,1677
0.860,8.000000,8.108362,7.960090,1.095059,0.039910,0.541232,0.008938,0.550170,0.797577,51,1728
0.880,8.000000,7.949374,7.958483,1.095889,0.041517,0.541232,0.009039,0.550271,0.797622,50,1778
