t_s,omega_ref_rad_s,omega_meas_rad_s,omega_filt_rad_s,error_rad_s,u_eff,pwm_cmd,delta_cnt,position_cnt
0.020,8.000000,-0.000000,0.000000,8.000000,-0.582700,0.812215,0,0
0.040,8.000000,-0.000000,0.000000,8.000000,-0.582700,0.812215,0,0
0.060,8.000000,-0.000000,0.000000,8.000000,-0.582700,0.812215,0,0
0.080,8.000000,0.635950,0.095392,7.904607,-0.582124,0.811956,-4,-4
0.100,8.000000,0.635950,0.176476,7.823524,-0.581634,0.811736,-4,-4
0.120,8.000000,0.635950,0.245397,7.754603,-0.581218,0.811548,-4,-4
0.140,8.000000,4.292662,0.852487,7.147513,-0.577554,0.809899,-27,-31
0.160,8.000000,4.292662,1.368513,6.631487,-0.574439,0.808497,-27,-31
0.180,8.000000,4.292662,1.807135,6.192865,-0.571791,0.807306,-27,-31
0.200,8.000000,6.359499,2.489990,5.510010,-0.567669,0.805451,-40,-71
0.220,8.000000,6.359499,3.070416,4.929584,-0.564165,0.803874,-40,-71
0.240,8.000000,6.359499,3.563778,4.436222,-0.561187,0.802534,-40,-71
0.260,8.000000,6.359499,3.983137,4.016863,-0.558655,0.801395,-40,-71
0.280,8.000000,7.313425,4.482679,3.517321,-0.555640,0.800038,-46,-117
0.300,8.000000,7.631400,4.954987,3.045013,-0.552788,0.798755,-48,-165
0.320,8.000000,7.790387,5.380297,2.619703,-0.550221,0.797599,-49,-214
0.340,8.000000,7.790387,5.741810,2.258190,-0.548039,0.796617,-49,-263
0.360,8.000000,7.949374,6.072945,1.927055,-0.546040,0.795718,-50,-313
0.380,8.000000,7.790387,6.330561,1.669439,-0.544485,0.795018,-49,-362
0.400,8.000000,7.949374,6.573382,1.426618,-0.543019,0.794358,-50,-412
0.420,8.000000,7.949374,6.779781,1.220219,-0.541773,0.793798,-50,-462
0.440,8.000000,7.790387,6.931372,1.068628,-0.540858,0.793386,-49,-511
0.460,8.000000,7.790387,7.060224,0.939776,-0.540080,0.793036,-49,-560
0.480,8.000000,7.949374,7.193597,0.806403,-0.539275,0.792674,-50,-610
0.500,8.000000,7.790387,7.283115,0.716885,-0.538735,0.792431,-49,-659
0.520,8.000000,7.790387,7.359206,0.640794,-0.538275,0.792224,-49,-708
0.540,8.000000,7.790387,7.423882,0.576118,-0.537885,0.792048,-49,-757
0.560,8.000000,7.790387,7.478858,0.521142,-0.537553,0.791899,-49,-806
0.580,8.000000,7.790387,7.525587,0.474413,-0.537271,0.791772,-49,-855
0.600,8.000000,7.790387,7.565307,0.434693,-0.537031,0.791664,-49,-904
0.620,8.000000,7.631400,7.575221,0.424779,-0.536971,0.791637,-48,-952
0.640,8.000000,7.790387,7.607495,0.392505,-0.536776,0.791549,-49,-1001
0.660,8.000000,7.790387,7.634929,0.365071,-0.536611,0.791475,-49,-1050
0.680,8.000000,7.790387,7.658247,0.341753,-0.536470,0.791412,-49,-1099
0.700,8.000000,7.790387,7.678068,0.321932,-0.536350,0.791358,-49,-1148
0.720,8.000000,7.631400,7.671067,0.328933,-0.536393,0.791377,-48,-1196
0.740,8.000000,7.790387,7.688965,0.311035,-0.536285,0.791328,-49,-1245
0.760,8.000000,7.790387,7.704178,0.295822,-0.536193,0.791287,-49,-1294
0.780,8.000000,7.790387,7.717109,0.282891,-0.536115,0.791252,-49,-1343
0.800,8.000000,7.631400,7.704253,0.295747,-0.536192,0.791287,-48,-1391
0.820,8.000000,7.790387,7.717173,0.282827,-0.536114,0.791251,-49,-1440
0.840,8.000000,7.790387,7.728155,0.271845,-0.536048,0.791222,-49,-1489
0.860,8.000000,7.790387,7.737489,0.262511,-0.535992,0.791196,-49,-1538
0.880,8.000000,7.631400,7.721576,0.278424,-0.536088,0.791240,-48,-1586
0.900,8.000000,7.790387,7.731897,0.268103,-0.536025,0.791211,-49,-1635
0.920,8.000000,7.790387,7.740671,0.259329,-0.535972,0.791188,-49,-1684
0.940,8.000000,7.790387,7.748128,0.251872,-0.535927,0.791167,-49,-1733
0.960,8.000000,7.631400,7.730618,0.269382,-0.536033,0.791215,-48,-1781
0.980,8.000000,7.790387,7.739583,0.260417,-0.535979,0.791191,-49,-1830
1.000,8.000000,7.790387,7.747204,0.252796,-0.535933,0.791170,-49,-1879
1.020,8.000000,7.790387,7.753681,0.246319,-0.535894,0.791152,-49,-1928
1.040,8.000000,7.790387,7.759187,0.240813,-0.535861,0.791137,-49,-1977
1.060,8.000000,7.631400,7.740018,0.259982,-0.535976,0.791189,-48,-2025
1.080,8.000000,7.790387,7.747573,0.252427,-0.535931,0.791169,-49,-2074
1.100,8.000000,7.790387,7.753995,0.246005,-0.535892,0.791151,-49,-2123
1.120,8.000000,7.790387,7.759454,0.240546,-0.535859,0.791137,-49,-2172
1.140,8.000000,7.631400,7.740245,0.259755,-0.535975,0.791189,-48,-2220
1.160,8.000000,7.790387,7.747766,0.252234,-0.535930,0.791168,-49,-2269
1.180,8.000000,7.790387,7.754159,0.245841,-0.535891,0.791151,-49,-2318
1.200,8.000000,7.790387,7.759593,0.240407,-0.535858,0.791136,-49,-2367
1.220,8.000000,7.790387,7.764212,0.235788,-0.535830,0.791124,-49,-2416
1.240,8.000000,7.790387,7.768138,0.231862,-0.535807,0.791113,-49,-2465
1.260,8.000000,7.631400,7.747627,0.252373,-0.535930,0.791169,-48,-2513
1.280,8.000000,7.790387,7.754041,0.245959,-0.535892,0.791151,-49,-2562
1.300,8.000000,7.790387,7.759492,0.240508,-0.535859,0.791137,-49,-2611
1.320,8.000000,7.790387,7.764126,0.235874,-0.535831,0.791124,-49,-2660
1.340,8.000000,7.631400,7.744217,0.255783,-0.535951,0.791178,-48,-2708
1.360,8.000000,7.790387,7.751142,0.248858,-0.535909,0.791159,-49,-2757
1.380,8.000000,7.790387,7.757029,0.242971,-0.535874,0.791143,-49,-2806
1.400,8.000000,7.790387,7.762032,0.237968,-0.535843,0.791130,-49,-2855
1.420,8.000000,7.790387,7.766285,0.233715,-0.535818,0.791118,-49,-2904
1.440,8.000000,7.631400,7.746052,0.253948,-0.535940,0.791173,-48,-2952
1.460,8.000000,7.790387,7.752702,0.247298,-0.535900,0.791155,-49,-3001
1.480,8.000000,7.790387,7.758354,0.241646,-0.535866,0.791140,-49,-3050
1.500,8.000000,7.790387,7.763159,0.236841,-0.535837,0.791126,-49,-3099
1.520,8.000000,7.631400,7.743395,0.256605,-0.535956,0.791180,-48,-3147
1.540,8.000000,7.790387,7.750443,0.249557,-0.535913,0.791161,-49,-3196
1.560,8.000000,7.790387,7.756435,0.243565,-0.535877,0.791145,-49,-3245
1.580,8.000000,7.790387,7.761528,0.238472,-0.535847,0.791131,-49,-3294
1.600,8.000000,7.790387,7.765856,0.234144,-0.535820,0.791119,-49,-3343
1.620,8.000000,7.631400,7.745687,0.254313,-0.535942,0.791174,-48,-3391
1.640,8.000000,7.790387,7.752392,0.247608,-0.535902,0.791156,-49,-3440
1.660,8.000000,7.790387,7.758091,0.241909,-0.535867,0.791140,-49,-3489
1.680,8.000000,7.790387,7.762936,0.237064,-0.535838,0.791127,-49,-3538
1.700,8.000000,7.631400,7.743205,0.256795,-0.535957,0.791181,-48,-3586
1.720,8.000000,7.790387,7.750282,0.249718,-0.535914,0.791161,-49,-3635
1.740,8.000000,7.790387,7.756298,0.243702,-0.535878,0.791145,-49,-3684
1.760,8.000000,7.790387,7.761411,0.238589,-0.535847,0.791131,-49,-3733
1.780,8.000000,7.790387,7.765757,0.234243,-0.535821,0.791119,-49,-3782
1.800,8.000000,7.790387,7.769451,0.230549,-0.535799,0.791109,-49,-3831
1.820,8.000000,7.790387,7.772591,0.227409,-0.535780,0.791101,-49,-3880
1.840,8.000000,7.790387,7.775260,0.224740,-0.535764,0.791094,-49,-3929
1.860,8.000000,7.790387,7.777529,0.222471,-0.535750,0.791088,-49,-3978
1.880,8.000000,7.790387,7.779458,0.220542,-0.535738,0.791082,-49,-4027
1.900,8.000000,7.790387,7.781097,0.218903,-0.535728,0.791078,-49,-4076
1.920,8.000000,7.790387,7.782490,0.217510,-0.535720,0.791074,-49,-4125
1.940,8.000000,7.631400,7.759827,0.240173,-0.535857,0.791136,-48,-4173
1.960,8.000000,7.790387,7.764410,0.235590,-0.535829,0.791123,-49,-4222
1.980,8.000000,7.790387,7.768307,0.231693,-0.535806,0.791113,-49,-4271
2.000,8.000000,7.631400,7.747770,0.252230,-0.535930,0.791168,-48,-4319
2.020,8.000000,7.790387,7.754163,0.245837,-0.535891,0.791151,-49,-4368
2.040,8.000000,7.790387,7.759596,0.240404,-0.535858,0.791136,-49,-4417
2.060,8.000000,7.790387,7.764215,0.235785,-0.535830,0.791124,-49,-4466
2.080,8.000000,7.790387,7.768140,0.231860,-0.535807,0.791113,-49,-4515
2.100,8.000000,7.790387,7.771477,0.228523,-0.535787,0.791104,-49,-4564
2.120,8.000000,7.790387,7.774313,0.225687,-0.535769,0.791096,-49,-4613
2.140,8.000000,7.790387,7.776724,0.223276,-0.535755,0.791090,-49,-4662
2.160,8.000000,7.790387,7.778773,0.221227,-0.535742,0.791084,-49,-4711
2.180,8.000000,7.790387,7.780515,0.219485,-0.535732,0.791079,-49,-4760
2.200,8.000000,7.790387,7.781996,0.218004,-0.535723,0.791075,-49,-4809
2.220,8.000000,7.790387,7.783254,0.216746,-0.535715,0.791072,-49,-4858
2.240,8.000000,7.790387,7.784324,0.215676,-0.535709,0.791069,-49,-4907
2.260,8.000000,7.790387,7.785233,0.214767,-0.535703,0.791067,-49,-4956
2.280,8.000000,7.790387,7.786006,0.213994,-0.535699,0.791065,-49,-5005
