t_s,omega_ref_rad_s,omega_meas_rad_s,omega_filt_rad_s,error_rad_s,u_eff,pwm_cmd,delta_cnt,position_cnt
0.020,8.000000,-0.000000,0.000000,8.000000,-0.582700,0.812215,0,0
0.040,8.000000,-0.000000,0.000000,8.000000,-0.582700,0.812215,0,0
0.060,8.000000,-0.000000,0.000000,8.000000,-0.582700,0.812215,0,0
0.080,8.000000,0.635950,0.095392,7.904607,-0.582124,0.811956,-4,-4
0.100,8.000000,0.635950,0.176476,7.823524,-0.581634,0.811736,-4,-4
0.120,8.000000,0.635950,0.245397,7.754603,-0.581218,0.811548,-4,-4
0.140,8.000000,4.133675,0.828639,7.171361,-0.577698,0.809964,-26,-30
0.160,8.000000,4.133675,1.324394,6.675606,-0.574705,0.808617,-26,-30
0.180,8.000000,4.133675,1.745786,6.254214,-0.572161,0.807472,-26,-30
0.200,8.000000,6.359499,2.437843,5.562157,-0.567983,0.805593,-40,-70
0.220,8.000000,6.359499,3.026091,4.973909,-0.564432,0.803995,-40,-70
0.240,8.000000,6.359499,3.526102,4.473898,-0.561414,0.802636,-40,-70
0.260,8.000000,6.359499,3.951112,4.048888,-0.558849,0.801482,-40,-70
0.280,8.000000,7.154437,4.431611,3.568389,-0.555948,0.800177,-45,-115
0.300,8.000000,7.631400,4.911579,3.088421,-0.553051,0.798873,-48,-163
0.320,8.000000,7.790387,5.343400,2.656600,-0.550444,0.797700,-49,-212
0.340,8.000000,7.790387,5.710447,2.289553,-0.548228,0.796703,-49,-261
0.360,8.000000,7.949374,6.046287,1.953713,-0.546201,0.795790,-50,-311
0.380,8.000000,7.790387,6.307901,1.692099,-0.544622,0.795080,-49,-360
0.400,8.000000,7.949374,6.554122,1.445878,-0.543135,0.794411,-50,-410
0.420,8.000000,7.949374,6.763410,1.236590,-0.541872,0.793842,-50,-460
0.440,8.000000,7.790387,6.917456,1.082544,-0.540942,0.793424,-49,-509
0.460,8.000000,7.949374,7.072244,0.927756,-0.540007,0.793003,-50,-559
0.480,8.000000,7.790387,7.179965,0.820035,-0.539357,0.792711,-49,-608
0.500,8.000000,7.949374,7.295377,0.704623,-0.538661,0.792397,-50,-658
0.520,8.000000,7.790387,7.369628,0.630372,-0.538212,0.792196,-49,-707
0.540,8.000000,7.790387,7.432742,0.567258,-0.537831,0.792024,-49,-756
0.560,8.000000,7.790387,7.486388,0.513612,-0.537507,0.791878,-49,-805
0.580,8.000000,7.790387,7.531988,0.468012,-0.537232,0.791754,-49,-854
0.600,8.000000,7.949374,7.594596,0.405404,-0.536854,0.791584,-50,-904
0.620,8.000000,7.790387,7.623964,0.376036,-0.536677,0.791505,-49,-953
0.640,8.000000,7.790387,7.648928,0.351072,-0.536526,0.791437,-49,-1002
0.660,8.000000,7.790387,7.670146,0.329854,-0.536398,0.791379,-49,-1051
0.680,8.000000,7.790387,7.688182,0.311818,-0.536289,0.791330,-49,-1100
0.700,8.000000,7.790387,7.703513,0.296487,-0.536197,0.791289,-49,-1149
0.720,8.000000,7.790387,7.716544,0.283456,-0.536118,0.791253,-49,-1198
0.740,8.000000,7.790387,7.727620,0.272380,-0.536051,0.791223,-49,-1247
0.760,8.000000,7.790387,7.737035,0.262965,-0.535994,0.791197,-49,-1296
0.780,8.000000,7.790387,7.745038,0.254962,-0.535946,0.791176,-49,-1345
0.800,8.000000,7.631400,7.727992,0.272008,-0.536049,0.791222,-48,-1393
0.820,8.000000,7.790387,7.737350,0.262650,-0.535993,0.791197,-49,-1442
0.840,8.000000,7.790387,7.745306,0.254694,-0.535944,0.791175,-49,-1491
0.860,8.000000,7.790387,7.752068,0.247932,-0.535904,0.791157,-49,-1540
0.880,8.000000,7.790387,7.757815,0.242185,-0.535869,0.791141,-49,-1589
0.900,8.000000,7.790387,7.762701,0.237299,-0.535839,0.791128,-49,-1638
0.920,8.000000,7.790387,7.766854,0.233146,-0.535814,0.791116,-49,-1687
0.940,8.000000,7.790387,7.770383,0.229617,-0.535793,0.791107,-49,-1736
0.960,8.000000,7.790387,7.773384,0.226616,-0.535775,0.791099,-49,-1785
0.980,8.000000,7.790387,7.775934,0.224066,-0.535760,0.791092,-49,-1834
1.000,8.000000,7.790387,7.778101,0.221899,-0.535747,0.791086,-49,-1883
1.020,8.000000,7.790387,7.779944,0.220056,-0.535735,0.791081,-49,-1932
1.040,8.000000,7.790387,7.781510,0.218490,-0.535726,0.791077,-49,-1981
1.060,8.000000,7.790387,7.782842,0.217158,-0.535718,0.791073,-49,-2030
1.080,8.000000,7.790387,7.783973,0.216027,-0.535711,0.791070,-49,-2079
1.100,8.000000,7.790387,7.784935,0.215065,-0.535705,0.791067,-49,-2128
1.120,8.000000,7.631400,7.761905,0.238095,-0.535844,0.791130,-48,-2176
1.140,8.000000,7.790387,7.766177,0.233823,-0.535819,0.791118,-49,-2225
1.160,8.000000,7.790387,7.769808,0.230192,-0.535797,0.791108,-49,-2274
1.180,8.000000,7.790387,7.772894,0.227106,-0.535778,0.791100,-49,-2323
1.200,8.000000,7.790387,7.775518,0.224482,-0.535762,0.791093,-49,-2372
1.220,8.000000,7.790387,7.777748,0.222252,-0.535749,0.791087,-49,-2421
1.240,8.000000,7.790387,7.779644,0.220356,-0.535737,0.791082,-49,-2470
1.260,8.000000,7.790387,7.781255,0.218745,-0.535727,0.791077,-49,-2519
1.280,8.000000,7.790387,7.782624,0.217376,-0.535719,0.791074,-49,-2568
1.300,8.000000,7.790387,7.783788,0.216212,-0.535712,0.791070,-49,-2617
1.320,8.000000,7.790387,7.784778,0.215222,-0.535706,0.791068,-49,-2666
1.340,8.000000,7.790387,7.785619,0.214381,-0.535701,0.791066,-49,-2715
1.360,8.000000,7.790387,7.786334,0.213666,-0.535697,0.791064,-49,-2764
1.380,8.000000,7.790387,7.786942,0.213058,-0.535693,0.791062,-49,-2813
1.400,8.000000,7.790387,7.787458,0.212542,-0.535690,0.791061,-49,-2862
1.420,8.000000,7.631400,7.764049,0.235951,-0.535831,0.791124,-48,-2910
1.440,8.000000,7.790387,7.768000,0.232000,-0.535807,0.791113,-49,-2959
1.460,8.000000,7.790387,7.771358,0.228642,-0.535787,0.791104,-49,-3008
1.480,8.000000,7.790387,7.774212,0.225788,-0.535770,0.791097,-49,-3057
1.500,8.000000,7.790387,7.776638,0.223362,-0.535755,0.791090,-49,-3106
1.520,8.000000,7.790387,7.778700,0.221300,-0.535743,0.791084,-49,-3155
1.540,8.000000,7.790387,7.780453,0.219547,-0.535732,0.791080,-49,-3204
1.560,8.000000,7.790387,7.781943,0.218057,-0.535723,0.791075,-49,-3253
1.580,8.000000,7.790387,7.783209,0.216791,-0.535716,0.791072,-49,-3302
1.600,8.000000,7.790387,7.784286,0.215714,-0.535709,0.791069,-49,-3351
1.620,8.000000,7.790387,7.785201,0.214799,-0.535704,0.791067,-49,-3400
1.640,8.000000,7.790387,7.785978,0.214022,-0.535699,0.791065,-49,-3449
1.660,8.000000,7.631400,7.762791,0.237209,-0.535839,0.791128,-48,-3497
1.680,8.000000,7.790387,7.766930,0.233070,-0.535814,0.791116,-49,-3546
1.700,8.000000,7.790387,7.770448,0.229552,-0.535793,0.791107,-49,-3595
1.720,8.000000,7.790387,7.773439,0.226561,-0.535775,0.791099,-49,-3644
1.740,8.000000,7.790387,7.775981,0.224019,-0.535759,0.791092,-49,-3693
1.760,8.000000,7.790387,7.778141,0.221859,-0.535746,0.791086,-49,-3742
1.780,8.000000,7.790387,7.779978,0.220022,-0.535735,0.791081,-49,-3791
1.800,8.000000,7.790387,7.781539,0.218461,-0.535726,0.791077,-49,-3840
1.820,8.000000,7.790387,7.782866,0.217134,-0.535718,0.791073,-49,-3889
1.840,8.000000,7.790387,7.783994,0.216006,-0.535711,0.791070,-49,-3938
1.860,8.000000,7.790387,7.784953,0.215047,-0.535705,0.791067,-49,-3987
1.880,8.000000,7.790387,7.785768,0.214232,-0.535700,0.791065,-49,-4036
1.900,8.000000,7.790387,7.786461,0.213539,-0.535696,0.791063,-49,-4085
1.920,8.000000,7.790387,7.787050,0.212950,-0.535693,0.791062,-49,-4134
1.940,8.000000,7.790387,7.787550,0.212450,-0.535689,0.791060,-49,-4183
1.960,8.000000,7.790387,7.787975,0.212025,-0.535687,0.791059,-49,-4232
1.980,8.000000,7.790387,7.788337,0.211663,-0.535685,0.791058,-49,-4281
2.000,8.000000,7.790387,7.788644,0.211356,-0.535683,0.791057,-49,-4330
2.020,8.000000,7.790387,7.788905,0.211095,-0.535681,0.791057,-49,-4379
2.040,8.000000,7.790387,7.789127,0.210873,-0.535680,0.791056,-49,-4428
2.060,8.000000,7.790387,7.789316,0.210684,-0.535679,0.791055,-49,-4477
2.080,8.000000,7.790387,7.789476,0.210524,-0.535678,0.791055,-49,-4526
2.100,8.000000,7.790387,7.789613,0.210387,-0.535677,0.791055,-49,-4575
2.120,8.000000,7.790387,7.789729,0.210271,-0.535676,0.791054,-49,-4624
2.140,8.000000,7.790387,7.789827,0.210173,-0.535676,0.791054,-49,-4673
2.160,8.000000,7.790387,7.789911,0.210089,-0.535675,0.791054,-49,-4722
2.180,8.000000,7.790387,7.789982,0.210018,-0.535675,0.791054,-49,-4771
2.200,8.000000,7.790387,7.790043,0.209957,-0.535674,0.791054,-49,-4820
2.220,8.000000,7.790387,7.790094,0.209906,-0.535674,0.791053,-49,-4869
2.240,8.000000,7.790387,7.790138,0.209862,-0.535674,0.791053,-49,-4918
2.260,8.000000,7.790387,7.790175,0.209825,-0.535674,0.791053,-49,-4967
2.280,8.000000,7.790387,7.790207,0.209793,-0.535673,0.791053,-49,-5016
