t_s,omega_ref_rad_s,omega_meas_rad_s,omega_filt_rad_s,error_rad_s,u_eff,pwm_cmd,delta_cnt,position_cnt
0.020,8.000000,0.000000,0.000000,8.000000,-0.582700,-0.812215,0,0
0.040,8.000000,0.000000,0.000000,8.000000,-0.582700,-0.812215,0,0
0.060,8.000000,0.000000,0.000000,8.000000,-0.582700,-0.812215,0,0
0.080,8.000000,0.476962,0.071544,7.928456,-0.582268,-0.812021,3,3
0.100,8.000000,0.476962,0.132357,7.867643,-0.581901,-0.811855,3,3
0.120,8.000000,0.476962,0.184048,7.815952,-0.581589,-0.811715,3,3
0.140,8.000000,4.292662,0.800340,7.199660,-0.577868,-0.810041,27,30
0.160,8.000000,4.292662,1.324188,6.675812,-0.574706,-0.808618,27,30
0.180,8.000000,4.292662,1.769459,6.230541,-0.572018,-0.807408,27,30
0.200,8.000000,6.359499,2.457965,5.542035,-0.567862,-0.805538,40,70
0.220,8.000000,6.359499,3.043195,4.956805,-0.564329,-0.803948,40,70
0.240,8.000000,6.359499,3.540641,4.459359,-0.561326,-0.802597,40,70
0.260,8.000000,6.359499,3.963470,4.036530,-0.558774,-0.801448,40,70
0.280,8.000000,6.995449,4.418266,3.581734,-0.556028,-0.800213,44,114
0.300,8.000000,7.472412,4.876388,3.123612,-0.553263,-0.798968,47,161
0.320,8.000000,7.313425,5.241943,2.758057,-0.551056,-0.797975,46,207
0.340,8.000000,7.631400,5.600361,2.399639,-0.548893,-0.797002,48,255
0.360,8.000000,7.472412,5.881169,2.118831,-0.547197,-0.796239,47,302
0.380,8.000000,7.631400,6.143703,1.856297,-0.545613,-0.795526,48,350
0.400,8.000000,7.472412,6.343009,1.656991,-0.544410,-0.794984,47,397
0.420,8.000000,7.472412,6.512420,1.487580,-0.543387,-0.794524,47,444
0.440,8.000000,7.631400,6.680266,1.319734,-0.542374,-0.794068,48,492
0.460,8.000000,7.472412,6.799088,1.200912,-0.541656,-0.793745,47,539
0.480,8.000000,7.472412,6.900086,1.099914,-0.541047,-0.793471,47,586
0.500,8.000000,7.472412,6.985935,1.014065,-0.540529,-0.793238,47,633
0.520,8.000000,7.472412,7.058907,0.941093,-0.540088,-0.793040,47,680
0.540,8.000000,7.472412,7.120932,0.879068,-0.539714,-0.792871,47,727
0.560,8.000000,7.472412,7.173654,0.826346,-0.539395,-0.792728,47,774
0.580,8.000000,7.472412,7.218468,0.781532,-0.539125,-0.792606,47,821
0.600,8.000000,7.472412,7.256559,0.743441,-0.538895,-0.792503,47,868
0.620,8.000000,7.313425,7.265089,0.734911,-0.538843,-0.792480,46,914
0.640,8.000000,7.472412,7.296187,0.703813,-0.538656,-0.792395,47,961
0.660,8.000000,7.472412,7.322621,0.677379,-0.538496,-0.792323,47,1008
0.680,8.000000,7.472412,7.345089,0.654911,-0.538360,-0.792262,47,1055
0.700,8.000000,7.472412,7.364188,0.635812,-0.538245,-0.792210,47,1102
0.720,8.000000,7.472412,7.380421,0.619579,-0.538147,-0.792166,47,1149
0.740,8.000000,7.472412,7.394220,0.605780,-0.538064,-0.792129,47,1196
0.760,8.000000,7.472412,7.405949,0.594051,-0.537993,-0.792097,47,1243
0.780,8.000000,7.472412,7.415918,0.584082,-0.537933,-0.792070,47,1290
0.800,8.000000,7.313425,7.400544,0.599456,-0.538026,-0.792112,46,1336
0.820,8.000000,7.472412,7.411324,0.588676,-0.537961,-0.792082,47,1383
0.840,8.000000,7.472412,7.420487,0.579513,-0.537905,-0.792057,47,1430
0.860,8.000000,7.472412,7.428276,0.571724,-0.537858,-0.792036,47,1477
0.880,8.000000,7.472412,7.434896,0.565104,-0.537818,-0.792018,47,1524
0.900,8.000000,7.472412,7.440523,0.559477,-0.537784,-0.792003,47,1571
0.920,8.000000,7.472412,7.445306,0.554694,-0.537755,-0.791990,47,1618
0.940,8.000000,7.313425,7.425524,0.574476,-0.537875,-0.792044,46,1664
0.960,8.000000,7.472412,7.432557,0.567443,-0.537832,-0.792025,47,1711
0.980,8.000000,7.472412,7.438535,0.561465,-0.537796,-0.792008,47,1758
1.000,8.000000,7.472412,7.443617,0.556383,-0.537766,-0.791995,47,1805
1.020,8.000000,7.472412,7.447936,0.552064,-0.537740,-0.791983,47,1852
1.040,8.000000,7.472412,7.451607,0.548393,-0.537717,-0.791973,47,1899
1.060,8.000000,7.472412,7.454728,0.545272,-0.537699,-0.791964,47,1946
1.080,8.000000,7.472412,7.457380,0.542620,-0.537683,-0.791957,47,1993
1.100,8.000000,7.472412,7.459635,0.540365,-0.537669,-0.791951,47,2040
1.120,8.000000,7.313425,7.437703,0.562297,-0.537801,-0.792011,46,2086
1.140,8.000000,7.472412,7.442909,0.557091,-0.537770,-0.791996,47,2133
1.160,8.000000,7.472412,7.447335,0.552665,-0.537743,-0.791984,47,2180
1.180,8.000000,7.472412,7.451096,0.548904,-0.537721,-0.791974,47,2227
1.200,8.000000,7.472412,7.454293,0.545707,-0.537701,-0.791966,47,2274
1.220,8.000000,7.472412,7.457011,0.542989,-0.537685,-0.791958,47,2321
1.240,8.000000,7.472412,7.459321,0.540679,-0.537671,-0.791952,47,2368
1.260,8.000000,7.313425,7.437437,0.562563,-0.537803,-0.792011,46,2414
1.280,8.000000,7.472412,7.442683,0.557317,-0.537771,-0.791997,47,2461
1.300,8.000000,7.472412,7.447142,0.552858,-0.537744,-0.791985,47,2508
1.320,8.000000,7.472412,7.450933,0.549067,-0.537721,-0.791975,47,2555
1.340,8.000000,7.472412,7.454154,0.545846,-0.537702,-0.791966,47,2602
1.360,8.000000,7.472412,7.456893,0.543107,-0.537686,-0.791958,47,2649
1.380,8.000000,7.472412,7.459221,0.540779,-0.537671,-0.791952,47,2696
1.400,8.000000,7.472412,7.461199,0.538801,-0.537660,-0.791947,47,2743
1.420,8.000000,7.472412,7.462881,0.537119,-0.537649,-0.791942,47,2790
1.440,8.000000,7.313425,7.440463,0.559537,-0.537785,-0.792003,46,2836
1.460,8.000000,7.313425,7.421407,0.578593,-0.537900,-0.792055,46,2882
1.480,8.000000,7.472412,7.429058,0.570942,-0.537854,-0.792034,47,2929
1.500,8.000000,7.472412,7.435561,0.564439,-0.537814,-0.792016,47,2976
1.520,8.000000,7.472412,7.441088,0.558912,-0.537781,-0.792001,47,3023
1.540,8.000000,7.472412,7.445786,0.554214,-0.537753,-0.791989,47,3070
1.560,8.000000,7.472412,7.449780,0.550220,-0.537728,-0.791978,47,3117
1.580,8.000000,7.472412,7.453175,0.546825,-0.537708,-0.791969,47,3164
1.600,8.000000,7.472412,7.456060,0.543940,-0.537691,-0.791961,47,3211
1.620,8.000000,7.472412,7.458513,0.541487,-0.537676,-0.791954,47,3258
1.640,8.000000,7.472412,7.460598,0.539402,-0.537663,-0.791948,47,3305
1.660,8.000000,7.472412,7.462369,0.537631,-0.537652,-0.791944,47,3352
1.680,8.000000,7.472412,7.463876,0.536124,-0.537643,-0.791939,47,3399
1.700,8.000000,7.472412,7.465156,0.534844,-0.537636,-0.791936,47,3446
1.720,8.000000,7.313425,7.442396,0.557604,-0.537773,-0.791998,46,3492
1.740,8.000000,7.472412,7.446898,0.553102,-0.537746,-0.791986,47,3539
1.760,8.000000,7.472412,7.450726,0.549274,-0.537723,-0.791975,47,3586
1.780,8.000000,7.472412,7.453979,0.546021,-0.537703,-0.791966,47,3633
1.800,8.000000,7.472412,7.456743,0.543257,-0.537686,-0.791959,47,3680
1.820,8.000000,7.472412,7.459094,0.540906,-0.537672,-0.791952,47,3727
1.840,8.000000,7.472412,7.461091,0.538909,-0.537660,-0.791947,47,3774
1.860,8.000000,7.472412,7.462789,0.537211,-0.537650,-0.791942,47,3821
1.880,8.000000,7.472412,7.464232,0.535768,-0.537641,-0.791939,47,3868
1.900,8.000000,7.472412,7.465459,0.534541,-0.537634,-0.791935,47,3915
1.920,8.000000,7.472412,7.466502,0.533498,-0.537628,-0.791932,47,3962
1.940,8.000000,7.472412,7.467389,0.532611,-0.537622,-0.791930,47,4009
1.960,8.000000,7.472412,7.468142,0.531858,-0.537618,-0.791928,47,4056
1.980,8.000000,7.472412,7.468782,0.531218,-0.537614,-0.791926,47,4103
2.000,8.000000,7.313425,7.445479,0.554521,-0.537754,-0.791990,46,4149
2.020,8.000000,7.472412,7.449519,0.550481,-0.537730,-0.791979,47,4196
2.040,8.000000,7.472412,7.452952,0.547048,-0.537709,-0.791969,47,4243
2.060,8.000000,7.472412,7.455871,0.544129,-0.537692,-0.791961,47,4290
2.080,8.000000,7.472412,7.458352,0.541648,-0.537677,-0.791955,47,4337
2.100,8.000000,7.472412,7.460461,0.539539,-0.537664,-0.791949,47,4384
2.120,8.000000,7.472412,7.462254,0.537746,-0.537653,-0.791944,47,4431
2.140,8.000000,7.472412,7.463777,0.536223,-0.537644,-0.791940,47,4478
2.160,8.000000,7.472412,7.465072,0.534928,-0.537636,-0.791936,47,4525
2.180,8.000000,7.472412,7.466173,0.533827,-0.537629,-0.791933,47,4572
2.200,8.000000,7.313425,7.443261,0.556739,-0.537768,-0.791996,46,4618
2.220,8.000000,7.631400,7.471481,0.528519,-0.537597,-0.791919,48,4666
2.240,8.000000,7.313425,7.447773,0.552227,-0.537741,-0.791983,46,4712
2.260,8.000000,7.472412,7.451469,0.548531,-0.537718,-0.791973,47,4759
2.280,8.000000,7.472412,7.454610,0.545390,-0.537699,-0.791965,47,4806
2.300,8.000000,7.472412,7.457281,0.542719,-0.537683,-0.791957,47,4853
2.320,8.000000,7.472412,7.459550,0.540450,-0.537669,-0.791951,47,4900
2.340,8.000000,7.472412,7.461480,0.538520,-0.537658,-0.791946,47,4947
